"","id","y","time","trait","measure","family","Sex","CapAgeYears","Twin","jdateMC","birthjdateMC","PopDensMC","MumAge"
"5581",1417,13.6,1996,"s","LAW","gaussian",1,1,0,0.981305114638445,3.59223985890652,78.6747795414462,4
"6566",4549,15,2000,"s","LAW","gaussian",1,7,0,-6.01869488536155,2.59223985890652,-35.3252204585538,7
"6742",217,14.6,2001,"s","LAW","gaussian",1,1,0,-4.01869488536155,0.592239858906524,154.674779541446,8
"6098",11631,12.9,1998,"s","LAW","gaussian",1,1,0,-2.01869488536155,2.59223985890652,94.6747795414462,5
"6331",14063,10.6,1999,"s","LAW","gaussian",1,8,0,-3.01869488536155,2.59223985890652,-171.325220458554,6
"5537",12227,13.7,1996,"s","LAW","gaussian",1,9,0,-0.0186948853615547,-2.40776014109348,78.6747795414462,3
"5331",14313,12.6,1995,"s","LAW","gaussian",1,7,0,4.98130511463845,-1.40776014109348,-139.325220458554,2
"5534",13378,16.3,1996,"s","LAW","gaussian",1,1,0,3.98130511463845,-1.40776014109348,78.6747795414462,3
"5333",2535,9.8,1995,"s","LAW","gaussian",1,7,0,4.98130511463845,-0.407760141093476,-139.325220458554,2
"5812",46,12.4,1997,"s","LAW","gaussian",1,10,0,-3.01869488536155,-0.407760141093476,45.6747795414462,4
"5398",4278,11.1,1995,"s","LAW","gaussian",1,10,0,5.98130511463845,8.59223985890652,-139.325220458554,2
"5587",6781,14.1,1996,"s","LAW","gaussian",1,6,0,4.98130511463845,3.59223985890652,78.6747795414462,3
"5580",3413,12.9,1996,"s","LAW","gaussian",1,6,0,0.981305114638445,2.59223985890652,78.6747795414462,3
"5661",9922,14.3,1996,"s","LAW","gaussian",1,11,0,-0.0186948853615547,-1.40776014109348,78.6747795414462,3
"6053",5724,13.4,1998,"s","LAW","gaussian",1,9,0,-0.0186948853615547,-0.407760141093476,94.6747795414462,5
"6776",886,15.3,2001,"s","LAW","gaussian",1,1,0,-1.01869488536155,-5.40776014109348,154.674779541446,8
"7695",13265,12.05,2003,"s","LAW","gaussian",1,8,0,3.98130511463845,3.59223985890652,-2.32522045855382,10
"6340",8648,10.3,1999,"s","LAW","gaussian",1,3,0,-1.01869488536155,2.59223985890652,-171.325220458554,6
"6132",5882,14.5,1998,"s","LAW","gaussian",1,1,0,-0.0186948853615547,3.59223985890652,94.6747795414462,5
"6344",13454,12.5,1999,"s","LAW","gaussian",1,1,0,-1.01869488536155,3.59223985890652,-171.325220458554,6
"5582",13928,12.3,1996,"s","LAW","gaussian",1,6,0,1.98130511463845,4.59223985890652,78.6747795414462,3
