"","animal","dam","sire"
"903",6279,NA,NA
"904",7159,NA,NA
"905",12741,NA,NA
"906",11927,NA,NA
"907",9052,NA,NA
"908",5766,NA,NA
"909",2819,NA,NA
"910",5981,NA,NA
"911",6860,NA,NA
"912",535,NA,NA
"913",6220,NA,NA
"914",13896,NA,NA
"915",1257,NA,NA
"916",14064,NA,NA
"917",13581,NA,NA
"918",8741,NA,NA
"919",1658,NA,NA
"920",858,NA,NA
"921",3118,NA,NA
"922",2778,NA,NA
"923",2248,NA,NA
"924",11799,NA,NA
"925",3739,NA,NA
"926",4350,NA,NA
"927",3255,NA,NA
"928",615,NA,NA
"929",7990,NA,NA
"930",6448,NA,NA
"931",10007,NA,NA
"932",1491,NA,NA
"933",12340,NA,NA
"934",12732,NA,NA
"935",3714,NA,NA
"936",12098,NA,NA
"937",4461,NA,NA
"938",816,NA,NA
"939",3853,NA,NA
"940",382,NA,NA
"941",9335,NA,NA
"942",14105,NA,NA
"943",6033,NA,NA
"944",10825,NA,NA
"945",1249,NA,NA
"946",1693,NA,NA
"947",3528,NA,NA
"948",13146,NA,NA
"949",14291,NA,NA
"950",2806,NA,NA
"951",7462,NA,NA
"952",6038,NA,NA
"953",3474,NA,NA
"954",10304,NA,NA
"955",1263,NA,NA
"956",893,NA,NA
"957",1690,NA,NA
"958",8446,NA,NA
"959",4641,NA,NA
"960",4261,NA,NA
"961",13774,NA,NA
"962",9584,NA,NA
"963",3431,NA,NA
"964",9089,NA,NA
"965",6517,NA,NA
"966",9877,NA,NA
"967",12617,NA,NA
"968",6335,NA,NA
"969",9213,NA,NA
"970",1116,NA,NA
"971",4135,NA,NA
"972",12930,NA,NA
"973",11891,NA,NA
"974",5135,NA,NA
"975",8225,NA,NA
"976",5897,NA,NA
"977",12280,NA,NA
"978",361,NA,NA
"979",6178,NA,NA
"980",5099,NA,NA
"981",8501,NA,NA
"982",1461,NA,NA
"983",404,NA,NA
"984",12887,NA,NA
"985",5204,NA,NA
"986",2506,NA,NA
"987",3575,NA,NA
"988",12608,NA,NA
"989",10441,NA,NA
"990",11494,NA,NA
"991",12644,NA,NA
"992",6781,NA,NA
"993",819,NA,NA
"994",11219,NA,NA
"995",3984,NA,NA
"996",7657,NA,NA
"997",9893,NA,NA
"998",6571,NA,NA
"999",671,NA,NA
"1000",11000,NA,NA
"1001",472,NA,NA
"1002",6955,NA,NA
"1003",10544,NA,NA
"1004",628,NA,NA
"1005",11076,NA,NA
"1006",5440,NA,NA
"1007",12472,NA,NA
"1008",9834,NA,NA
"1009",8147,NA,NA
"1010",9411,NA,NA
"1011",5826,NA,NA
"1012",9,NA,NA
"1013",10721,NA,NA
"1014",5800,NA,NA
"1015",781,NA,NA
"1016",5770,NA,NA
"1017",8666,NA,NA
"1018",5695,NA,NA
"1019",7239,NA,NA
"1020",7102,NA,NA
"1021",12445,NA,NA
"1022",5596,NA,NA
"1023",9887,NA,NA
"1024",114,NA,NA
"1025",11539,NA,NA
"1026",7819,NA,NA
"1027",12573,NA,NA
"1028",3269,NA,NA
"1029",10566,NA,NA
"1030",9030,NA,NA
"1031",11109,NA,NA
"1032",4155,NA,NA
"1033",9038,NA,NA
"1034",5011,NA,NA
"1035",1511,NA,NA
"1036",13328,NA,NA
"1037",4542,NA,NA
"1038",4078,NA,NA
"1039",18,NA,NA
"1040",7210,NA,NA
"1041",8593,NA,NA
"1042",12086,NA,NA
"1043",4310,NA,NA
"1044",4459,NA,NA
"1045",6454,NA,NA
"1046",6609,NA,NA
"1047",5019,NA,NA
"1048",7868,NA,NA
"1049",1074,NA,NA
"1050",5644,NA,NA
"1051",7538,NA,NA
"1052",775,NA,NA
"1053",3212,NA,NA
"1054",787,NA,NA
"1055",7260,NA,NA
"1056",1427,NA,NA
"1057",4042,NA,NA
"1058",4947,NA,NA
"1059",3371,NA,NA
"1060",5975,NA,NA
"1061",9767,NA,NA
"1062",5127,NA,NA
"1063",8663,NA,NA
"1064",10270,NA,NA
"1065",2994,NA,NA
"1066",14226,NA,NA
