"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","PopDensMC"
"7482",1112,0,2003,"s","LBS","poisson",0,0,0,59.9713541666667
"7483",10745,1,2003,"s","LBS","poisson",0,0,0,59.9713541666667
"7485",1326,5,2003,"s","LBS","poisson",0,0,0,59.9713541666667
"7486",3299,0,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"7489",2402,2,2002,"s","LBS","poisson",0,1,0,-99.0286458333333
"7493",8981,5,2001,"s","LBS","poisson",0,0,0,216.971354166667
"8008",7264,0,2004,"s","LBS","poisson",0,0,0,236.971354166667
"8009",4405,43,2004,"s","LBS","poisson",0,0,0,236.971354166667
"8188",8736,1,2005,"s","LBS","poisson",0,0,0,-29.0286458333333
"8198",1299,2,2005,"s","LBS","poisson",0,0,0,-29.0286458333333
"8205",8460,39,2003,"s","LBS","poisson",0,0,0,59.9713541666667
"8254",9062,2,2005,"s","LBS","poisson",0,0,0,-29.0286458333333
"8255",4062,2,2005,"s","LBS","poisson",0,0,0,-29.0286458333333
"8258",8453,1,2005,"s","LBS","poisson",0,0,0,-29.0286458333333
"8279",4671,6,2003,"s","LBS","poisson",0,1,0,59.9713541666667
"8280",3689,0,2003,"s","LBS","poisson",0,1,0,59.9713541666667
"8283",451,3,2003,"s","LBS","poisson",0,0,0,59.9713541666667
"8305",1148,0,2005,"s","LBS","poisson",0,0,0,-29.0286458333333
"8308",8887,6,2003,"s","LBS","poisson",0,0,0,59.9713541666667
"8310",14007,5,2003,"s","LBS","poisson",0,0,0,59.9713541666667
"8314",10973,17,2003,"s","LBS","poisson",0,1,0,59.9713541666667
"8315",2035,5,2003,"s","LBS","poisson",0,0,0,59.9713541666667
"8317",9263,6,2002,"s","LBS","poisson",0,0,0,-99.0286458333333
"8617",9558,4,2006,"s","LBS","poisson",0,0,0,32.9713541666667
"8630",3643,39,2006,"s","LBS","poisson",0,0,0,32.9713541666667
"8631",9795,24,2006,"s","LBS","poisson",0,0,0,32.9713541666667
"8633",13519,16,2005,"s","LBS","poisson",0,0,0,-29.0286458333333
"8762",5779,3,2006,"s","LBS","poisson",0,0,0,32.9713541666667
"8765",13855,24,2006,"s","LBS","poisson",0,0,0,32.9713541666667
