"","ID","Weight","CapAgeYears","Sex","Twin","jdateMC","PopDensMC","CapYear","BirthYear","animal"
"1637",9425,21.6,2,1,0,-1.61222361284939,-187.824155193993,1992,1990,9425
"1638",7678,17.5,3,1,0,-1.61222361284939,-187.824155193993,1992,1989,7678
"1639",9874,21.1,4,1,0,-1.61222361284939,-187.824155193993,1992,1988,9874
"1640",3991,21.6,4,1,0,-1.61222361284939,-187.824155193993,1992,1988,3991
"1641",13105,21,5,1,0,-1.61222361284939,-187.824155193993,1992,1987,13105
"1645",10858,16,1,1,1,-1.61222361284939,-187.824155193993,1992,1991,10858
"1646",3215,23.6,2,1,1,-1.61222361284939,-187.824155193993,1992,1990,3215
"1651",12659,18,1,1,0,-1.61222361284939,-187.824155193993,1992,1991,12659
"1652",8725,21.1,2,1,1,-1.61222361284939,-187.824155193993,1992,1990,8725
"1653",10784,25,3,1,0,-1.61222361284939,-187.824155193993,1992,1989,10784
"1654",5771,26,4,1,0,-1.61222361284939,-187.824155193993,1992,1988,5771
"1657",5977,16.1,1,1,0,-1.61222361284939,-187.824155193993,1992,1991,5977
"1658",12643,20.6,3,1,0,-1.61222361284939,-187.824155193993,1992,1989,12643
"1659",3324,22.7,6,1,0,-1.61222361284939,-187.824155193993,1992,1986,3324
"1664",13084,19.9,1,2,0,-1.61222361284939,-187.824155193993,1992,1991,13084
"1665",7402,17.7,1,2,1,-1.61222361284939,-187.824155193993,1992,1991,7402
"1666",6277,12.2,1,1,0,-1.61222361284939,-187.824155193993,1992,1991,6277
"1667",13426,20.2,2,1,0,-1.61222361284939,-187.824155193993,1992,1990,13426
"1668",4413,22.1,2,1,1,-1.61222361284939,-187.824155193993,1992,1990,4413
"1669",9765,32,2,2,0,-1.61222361284939,-187.824155193993,1992,1990,9765
"1670",5205,23.4,2,2,0,-1.61222361284939,-187.824155193993,1992,1990,5205
"1671",11688,22.2,4,1,0,-1.61222361284939,-187.824155193993,1992,1988,11688
"1672",5631,19.2,1,1,0,-1.61222361284939,-187.824155193993,1992,1991,5631
"1674",7945,19.6,1,1,0,-1.61222361284939,-187.824155193993,1992,1991,7945
"1675",3910,22.6,1,2,0,-1.61222361284939,-187.824155193993,1992,1991,3910
"1683",2283,22.8,1,1,0,-0.612223612849391,-187.824155193993,1992,1991,2283
"1684",6317,32,2,2,0,-0.612223612849391,-187.824155193993,1992,1990,6317
"1685",7839,30.2,2,2,0,-0.612223612849391,-187.824155193993,1992,1990,7839
"1686",224,21.9,2,1,1,-0.612223612849391,-187.824155193993,1992,1990,224
"1687",1265,21.4,2,1,1,-0.612223612849391,-187.824155193993,1992,1990,1265
"1688",5590,19.5,2,1,0,-0.612223612849391,-187.824155193993,1992,1990,5590
"1689",5489,25.7,3,1,0,-0.612223612849391,-187.824155193993,1992,1989,5489
"1690",8958,22.9,3,1,0,-0.612223612849391,-187.824155193993,1992,1989,8958
"1691",2132,24,4,1,0,-0.612223612849391,-187.824155193993,1992,1988,2132
"1692",4666,25.1,4,1,0,-0.612223612849391,-187.824155193993,1992,1988,4666
"1693",6570,23.2,5,1,0,-0.612223612849391,-187.824155193993,1992,1987,6570
"1694",8323,29.3,6,1,0,-0.612223612849391,-187.824155193993,1992,1986,8323
"1698",3245,26.8,5,1,0,-0.612223612849391,-187.824155193993,1992,1987,3245
"1699",850,20.8,3,1,0,-0.612223612849391,-187.824155193993,1992,1989,850
