"","id","y","time","trait","measure","family","CapAgeYears","Sex","Twin","jdateMC","PopDensMC"
"1460",13000,1,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1461",10387,0,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1462",4413,8,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1463",13995,2,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1464",5910,22,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1466",4130,11,1989,"s","LBS","poisson",0,2,0,0,-218.064822134387
"1467",11688,12,1988,"s","LBS","poisson",0,1,0,0,27.9351778656127
"1472",1438,0,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1479",1475,2,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1480",11829,18,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1483",4870,1,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1486",10396,1,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1487",4489,2,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1488",280,9,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1492",8067,1,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1493",3678,8,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1495",934,0,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1497",3231,13,1987,"s","LBS","poisson",0,1,0,0,-98.0648221343873
"1501",975,8,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1503",5641,0,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1504",8728,0,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1507",6925,4,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1508",1354,1,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1509",1633,6,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1513",9531,7,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1515",11532,0,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1516",875,5,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1518",10354,0,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1519",9765,1,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1521",9032,2,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1534",2943,0,1989,"s","LBS","poisson",0,1,1,0,-218.064822134387
"1604",14124,6,1991,"s","LBS","poisson",0,2,0,0,-15.0648221343873
"1632",9482,5,1991,"s","LBS","poisson",0,2,0,0,-15.0648221343873
"1634",12538,10,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1639",9874,5,1988,"s","LBS","poisson",0,1,0,0,27.9351778656127
"1645",10858,10,1991,"s","LBS","poisson",0,1,1,0,-15.0648221343873
"1651",12659,10,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1657",5977,4,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1664",13084,0,1991,"s","LBS","poisson",0,2,0,0,-15.0648221343873
"1665",7402,0,1991,"s","LBS","poisson",0,2,1,0,-15.0648221343873
"1666",6277,2,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1670",5205,1,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1672",5631,9,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1674",7945,4,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1675",3910,11,1991,"s","LBS","poisson",0,2,0,0,-15.0648221343873
"1683",2283,10,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1688",5590,10,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1706",4886,9,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1707",2240,11,1991,"s","LBS","poisson",0,1,1,0,-15.0648221343873
"1711",3668,12,1988,"s","LBS","poisson",0,1,0,0,27.9351778656127
"1712",13708,10,1988,"s","LBS","poisson",0,1,0,0,27.9351778656127
"1731",5102,0,1991,"s","LBS","poisson",0,2,0,0,-15.0648221343873
"1732",7460,8,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1733",11579,1,1991,"s","LBS","poisson",0,2,0,0,-15.0648221343873
"1734",6108,30,1991,"s","LBS","poisson",0,2,0,0,-15.0648221343873
"1760",3650,5,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1769",12719,8,1988,"s","LBS","poisson",0,1,0,0,27.9351778656127
"1786",14186,11,1991,"s","LBS","poisson",0,1,1,0,-15.0648221343873
"1787",9509,1,1991,"s","LBS","poisson",0,2,0,0,-15.0648221343873
"1788",1546,1,1991,"s","LBS","poisson",0,2,1,0,-15.0648221343873
"1789",4341,2,1991,"s","LBS","poisson",0,2,0,0,-15.0648221343873
"1791",13357,8,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1793",1452,5,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1794",8227,7,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1797",12400,3,1991,"s","LBS","poisson",0,2,0,0,-15.0648221343873
"1800",13983,5,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1805",13597,6,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1808",10374,10,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1811",1136,6,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1836",2712,5,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1837",3586,11,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1838",6199,9,1992,"s","LBS","poisson",0,1,1,0,-108.064822134387
"1839",3254,11,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1840",12023,13,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1841",13178,8,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1858",501,0,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1859",2109,9,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1860",12952,13,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1883",4008,4,1991,"s","LBS","poisson",0,1,1,0,-15.0648221343873
