"","ID","LambAugWeight","LambHindLeg","LambHornLen","LambBolCirc","Sex","PopDensBirth","MumAge","Twin","CapJDate"
"10477",4416,7.8,140,NA,NA,1,649,3,0,226
"11868",572,14.5,167,127,215,2,482,6,0,223
"12264",12647,14.15,159,155,180,2,513,7,0,221
"12603",3989,14.35,153,178,190,2,444,8,0,232
"10755",933,14.7,161,NA,NA,1,362,4,0,234
"11225",4935,14.4,163,101,195,2,545,5,0,231
"11207",4340,15.4,171,NA,NA,1,545,5,0,231
"9573",11761,14.8,168,NA,185,2,672,2,0,230
"11227",7151,17.7,178,179,240,2,545,5,0,231
"12202",2042,13.25,167,83,205,2,513,7,0,228
"12548",9299,13.55,160,NA,NA,1,444,8,0,232
"10261",6196,14.2,161,69,230,2,649,3,0,226
"11101",11510,16.35,167,NA,NA,1,545,5,0,231
"11817",7216,12.85,157,NA,NA,1,482,6,0,230
"12554",2652,14.6,171,NA,NA,1,444,8,0,232
"11872",3342,13.05,164,NA,155,2,482,6,0,223
"12296",4943,10.65,145,127,150,2,513,7,0,221
"9590",5898,10.6,150,80,150,2,672,2,0,228
"10473",8701,11.4,156,NA,NA,1,649,3,0,222
"10788",1224,14.8,167,NA,NA,1,362,4,0,234
"10459",6297,12.4,164,97,185,2,649,3,0,222
"12315",6544,13.65,161,NA,NA,1,513,7,0,228
"10316",7522,11.6,158,109,175,2,649,3,0,226
"9721",4250,8.9,161,NA,NA,1,672,2,0,221
"10472",13716,9.5,158,NA,NA,1,649,3,0,222
"12690",7536,9.6,148,NA,NA,1,444,8,0,213
"9532",14325,9.9,149,82,130,2,672,2,0,221
"10750",6921,13.7,163,NA,NA,1,362,4,0,226
"11074",7409,16.7,171,182,195,2,545,5,0,226
"11804",11808,14.8,162,159,215,2,482,6,0,220
"12266",3764,11.2,157,NA,NA,1,513,7,0,218
"12537",12055,11.9,157,NA,NA,1,444,8,0,226
"12844",12712,12.1,158,NA,NA,1,528,9,0,223
"9581",8922,9.1,147,NA,140,2,672,2,0,221
"11784",2592,13.95,162,92,220,2,482,6,0,220
"12203",7315,10.8,151,NA,NA,1,513,7,0,218
"12782",1127,11.5,154,NA,NA,1,528,9,0,226
"9531",13112,12,164,158,160,2,672,2,0,221
"10763",6693,13.7,158,144,190,2,362,4,0,226
"11028",7123,10,160,NA,NA,1,545,5,0,226
"11785",10592,14.15,171,NA,NA,1,482,6,0,223
"12612",11744,12.6,167,85,170,2,444,8,0,226
"12801",286,12.65,164,138,195,2,528,9,0,226
"13137",13877,11.6,155,NA,NA,1,378,10,0,223
"10285",4961,14.7,170,101,175,2,649,3,0,222
"10752",10881,12.3,162,NA,NA,1,362,4,0,226
"11108",8811,16.65,169,155,220,2,545,5,0,226
"11813",10217,12.4,162,NA,NA,1,482,6,0,220
"12594",8971,14.85,166,NA,NA,1,444,8,0,228
"13115",10137,13.05,159,NA,NA,1,378,10,0,225
"12317",11307,11.3,158,86,165,2,513,7,0,218
"12237",13695,11.1,155,NA,NA,1,513,7,0,218
"12328",13578,11.35,155,142,185,2,513,7,0,226
"10358",9161,13.5,172,114,190,2,649,3,0,222
"10811",11200,14.2,165,NA,NA,1,362,4,0,228
"12406",5048,4.1,129,NA,NA,1,513,7,0,223
"12634",7281,10,180,72,140,2,444,8,0,226
"10293",2163,14.5,167,62,165,2,649,3,0,222
"11861",5104,15.5,175,136,210,2,482,6,0,220
"12859",1579,11.7,161,NA,NA,1,528,9,0,223
"13129",4836,13.2,162,159,175,2,378,10,0,223
"11773",7618,16.3,166,NA,NA,1,482,6,0,230
"13000",7247,12.05,162,NA,NA,1,528,9,0,223
"10778",4238,14.6,161,NA,NA,1,362,4,0,226
"11220",9435,15.75,167,NA,NA,1,545,5,0,223
"12055",11166,14.55,171,NA,NA,1,482,6,0,220
"12414",6170,9.55,152,52,120,2,513,7,0,218
"9533",4959,10.2,153,82,140,2,672,2,0,221
"11198",6380,13.15,161,NA,NA,1,545,5,0,223
"13118",6094,11.55,154,NA,NA,1,378,10,0,223
"11137",6651,13.25,163,NA,NA,1,545,5,0,223
"11810",4224,12.4,156,NA,NA,1,482,6,0,223
"12276",1258,9.95,151,139,125,2,513,7,0,218
"12692",9910,13.6,163,137,180,2,444,8,0,217
"10792",14128,13.8,165,NA,NA,1,362,4,0,226
"11075",5270,15.1,168,NA,NA,1,545,5,0,226
"12287",11677,12.05,159,NA,NA,1,513,7,0,228
"12874",5058,10.5,149,93,185,2,528,9,0,233
"11776",14263,14.15,162,NA,NA,1,482,6,0,226
"12741",11404,18.55,173,NA,NA,1,528,9,0,231
"11203",7908,15.1,170,NA,NA,1,545,5,0,231
"9612",6451,11,152,NA,165,2,672,2,0,228
"12800",4829,10.6,152,NA,NA,1,528,9,0,233
"9075",3977,7.7,139,NA,NA,1,567,1,0,222
"9699",13763,12.2,159,NA,NA,1,672,3,0,228
"11231",10546,16.1,163,100,225,2,545,6,0,233
"11848",13814,13.7,159,NA,NA,1,482,7,0,226
"11746",12565,13.2,157,104,205,2,482,5,0,220
"12158",6214,8.6,142,NA,NA,1,513,6,0,221
"12159",10026,17.05,167,187,245,2,513,6,0,228
"10478",6800,12.7,163,NA,195,2,649,2,0,226
"12286",757,13.9,162,NA,NA,1,513,6,0,226
"10791",11336,15.1,169,NA,NA,1,362,3,0,234
"11780",13080,13,152,NA,NA,1,482,5,0,230
"10256",9637,9.2,140,43,130,2,649,2,0,226
"12815",11015,13.95,162,NA,NA,1,528,8,0,231
"11071",909,18,176,113,195,2,545,4,0,233
"12778",10245,13.55,165,NA,NA,1,528,8,0,223
"13066",13021,8.1,141,NA,NA,1,378,9,0,223
"10475",169,8.8,144,91,135,2,649,2,0,224
"11069",2870,17.7,169,NA,NA,1,545,4,0,226
"11819",8792,14.5,163,NA,NA,1,482,5,0,223
"12854",113,15.85,171,NA,230,2,528,8,0,223
"13101",12578,12.25,156,NA,NA,1,378,9,0,223
"13425",8271,15.6,175,171,210,2,508,10,0,223
"11759",9121,12.8,163,NA,NA,1,482,5,0,230
"12860",1413,9.4,142,34,135,2,528,8,0,223
"10764",6939,14.1,161,NA,NA,1,362,3,0,226
"11013",3284,19.7,174,169,250,2,545,4,0,226
"13319",1908,13.3,160,NA,NA,1,378,9,0,225
"14166",14061,10.2,152,NA,NA,1,557,12,0,231
"10968",2560,13.8,161,NA,NA,1,362,3,0,234
"11219",3980,13.15,165,NA,NA,1,545,4,0,223
"12060",880,14.3,162,NA,NA,1,482,5,0,223
"10965",5538,10.2,150,NA,NA,1,362,3,0,226
"10323",1652,8.8,150,98,120,2,649,2,0,222
"11038",5422,15,164,NA,NA,1,545,4,0,223
"11807",348,18.7,172,126,220,2,482,5,0,220
"12517",7658,13.15,169,NA,NA,1,444,7,0,226
"12996",1312,15.5,175,98,170,2,528,8,0,212
"10730",13488,13.3,164,NA,NA,1,362,3,0,226
"11010",8573,18.35,175,180,230,2,545,4,0,223
"11159",6213,15.75,164,NA,NA,1,545,4,0,226
