"","LambAugWeight","Sur1","ID","Sex","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"3877",21,1,12322,2,0,5.03162055335969,-167.245059288538,-5.40776014109348,1987
"3646",16.7,0,9520,2,0,-0.968379446640313,10.7549407114624,5.59223985890652,1985
"3981",17,1,14091,2,0,6.03162055335969,-167.245059288538,9.59223985890652,1987
"3506",21.5,0,13670,2,0,11.0316205533597,10.7549407114624,-6.40776014109348,1985
"3883",19,1,12313,2,0,5.03162055335969,-167.245059288538,-1.40776014109348,1987
"3786",19.1,1,11505,2,0,14.0316205533597,-287.245059288538,-14.4077601410935,1986
"4174",19.4,0,9026,2,0,12.0316205533597,-41.2450592885376,-3.40776014109348,1988
"3628",14.7,0,3552,2,0,9.03162055335969,10.7549407114624,2.59223985890652,1985
"3640",20.4,0,8351,2,0,16.0316205533597,10.7549407114624,3.59223985890652,1985
"3954",17,1,10476,2,0,5.03162055335969,-167.245059288538,10.5922398589065,1987
"3629",18.4,0,6756,2,0,9.03162055335969,10.7549407114624,2.59223985890652,1985
"3956",19,1,11330,2,0,6.03162055335969,-167.245059288538,10.5922398589065,1987
"3916",17.8,1,12348,2,0,6.03162055335969,-167.245059288538,3.59223985890652,1987
"3522",19,0,5966,2,0,9.03162055335969,10.7549407114624,-2.40776014109348,1985
"3876",19,1,10427,2,0,5.03162055335969,-167.245059288538,-5.40776014109348,1987
"3893",21,1,12241,2,0,5.03162055335969,-167.245059288538,-0.407760141093476,1987
"3499",20.5,0,2151,2,0,11.0316205533597,10.7549407114624,-8.40776014109348,1985
"3984",16.5,1,10379,2,0,7.03162055335969,-167.245059288538,-1.40776014109348,1987
"4141",20.5,0,1549,2,0,10.0316205533597,-41.2450592885376,-3.40776014109348,1988
"4654",6.7,0,7794,2,0,1.03162055335969,-84.2450592885376,7.59223985890652,1991
"3655",17.9,0,11933,2,0,14.0316205533597,10.7549407114624,5.59223985890652,1985
"3898",20.5,1,4782,2,0,5.03162055335969,-167.245059288538,-1.40776014109348,1987
"4766",12.4,1,11867,2,0,-1.96837944664031,-177.245059288538,0.592239858906524,1992
"4232",21,0,346,2,0,1.03162055335969,-287.245059288538,-9.40776014109348,1989
"4150",19.5,0,9429,2,0,12.0316205533597,-41.2450592885376,-1.40776014109348,1988
"4414",18.5,0,1989,2,0,0.0316205533596872,-208.245059288538,7.59223985890652,1990
"4097",18.8,0,12381,2,0,17.0316205533597,-41.2450592885376,-7.40776014109348,1988
"4810",9.4,1,5931,2,0,-1.96837944664031,-177.245059288538,0.592239858906524,1992
"3505",17.7,0,1937,2,0,16.0316205533597,10.7549407114624,-7.40776014109348,1985
"4383",16.7,1,1438,2,0,0.0316205533596872,-208.245059288538,-1.40776014109348,1990
"4559",18.2,0,11332,2,0,5.03162055335969,-84.2450592885376,-7.40776014109348,1991
"3934",18,1,4550,2,0,6.03162055335969,-167.245059288538,6.59223985890652,1987
"3887",18,1,10754,2,0,5.03162055335969,-167.245059288538,-2.40776014109348,1987
"4099",17.8,0,11495,2,0,9.03162055335969,-41.2450592885376,-6.40776014109348,1988
"3937",19,1,10582,2,0,9.03162055335969,-167.245059288538,7.59223985890652,1987
"4136",20,0,406,2,0,12.0316205533597,-41.2450592885376,-3.40776014109348,1988
"3881",19.5,1,4514,2,0,5.03162055335969,-167.245059288538,-2.40776014109348,1987
"3971",16,1,11996,2,0,5.03162055335969,-167.245059288538,25.5922398589065,1987
"4176",18.3,0,8965,2,0,12.0316205533597,-41.2450592885376,4.59223985890652,1988
"4777",16.2,0,3288,2,0,-0.968379446640313,-177.245059288538,3.59223985890652,1992
"4649",14.3,0,12099,2,0,2.03162055335969,-84.2450592885376,4.59223985890652,1991
"3951",17.5,1,7071,2,0,6.03162055335969,-167.245059288538,7.59223985890652,1987
"4135",19.8,1,5546,2,0,17.0316205533597,-41.2450592885376,-3.40776014109348,1988
"4767",15.6,1,3595,2,0,-0.968379446640313,-177.245059288538,0.592239858906524,1992
"5616",11.3,0,1986,2,0,5.03162055335969,76.7549407114624,6.59223985890652,1996
"4759",14.7,0,701,2,0,-0.968379446640313,-177.245059288538,0.592239858906524,1992
"4392",19,0,5673,2,0,0.0316205533596872,-208.245059288538,0.592239858906524,1990
"4106",22,0,11710,2,0,15.0316205533597,-41.2450592885376,-6.40776014109348,1988
"3906",16.3,1,6994,2,0,5.03162055335969,-167.245059288538,1.59223985890652,1987
"4627",16.4,0,166,2,0,1.03162055335969,-84.2450592885376,0.592239858906524,1991
"4130",17.5,0,13641,2,0,14.0316205533597,-41.2450592885376,-3.40776014109348,1988
"3780",11.9,1,6481,2,0,9.03162055335969,-287.245059288538,19.5922398589065,1986
"4750",13.3,0,3131,2,0,-1.96837944664031,-177.245059288538,-2.40776014109348,1992
"4643",17.9,0,1785,2,0,1.03162055335969,-84.2450592885376,4.59223985890652,1991
"3957",16.5,1,14298,2,0,7.03162055335969,-167.245059288538,11.5922398589065,1987
"3929",10,1,3641,2,0,5.03162055335969,-167.245059288538,3.59223985890652,1987
"4068",13,1,11513,2,0,12.0316205533597,-41.2450592885376,-11.4077601410935,1988
"3935",16.5,1,5655,2,0,6.03162055335969,-167.245059288538,6.59223985890652,1987
"4103",15,0,266,2,0,9.03162055335969,-41.2450592885376,-6.40776014109348,1988
"3873",14.5,1,10920,2,0,5.03162055335969,-167.245059288538,-12.4077601410935,1987
"4188",13.5,0,8095,2,0,10.0316205533597,-41.2450592885376,-12.4077601410935,1988
"4118",14.2,0,12809,2,0,12.0316205533597,-41.2450592885376,-4.40776014109348,1988
"3896",12.8,1,12211,2,0,6.03162055335969,-167.245059288538,0.592239858906524,1987
"4771",14.9,1,6294,2,0,1.03162055335969,-177.245059288538,2.59223985890652,1992
"4107",17.6,0,3331,2,0,10.0316205533597,-41.2450592885376,-5.40776014109348,1988
"5217",15.6,0,5134,2,0,4.03162055335969,-63.2450592885376,3.59223985890652,1994
"4049",20.6,0,11956,2,0,17.0316205533597,-41.2450592885376,-14.4077601410935,1988
"5193",14.4,0,7609,2,0,2.03162055335969,-63.2450592885376,-0.407760141093476,1994
"5875",9.5,0,941,2,0,-2.96837944664031,43.7549407114624,4.59223985890652,1997
"4116",11.1,0,234,2,0,10.0316205533597,-41.2450592885376,-4.40776014109348,1988
"4117",13,0,3751,2,0,6.03162055335969,-41.2450592885376,-5.40776014109348,1988
"5403",15.7,1,7898,2,0,6.03162055335969,-141.245059288538,9.59223985890652,1995
"4110",9,0,10470,2,0,10.0316205533597,-41.2450592885376,-5.40776014109348,1988
"4047",13.1,0,13765,2,0,12.0316205533597,-41.2450592885376,-21.4077601410935,1988
"5049",15,0,4035,2,0,-1.96837944664031,-55.2450592885376,6.59223985890652,1993
"5222",16,0,3471,2,0,4.03162055335969,-63.2450592885376,5.59223985890652,1994
"4530",13.6,0,6844,2,0,1.03162055335969,-84.2450592885376,-18.4077601410935,1991
"5379",14.6,1,14254,2,0,1.03162055335969,-141.245059288538,5.59223985890652,1995
"4640",17.2,0,1074,2,0,2.03162055335969,-84.2450592885376,2.59223985890652,1991
"4772",15.8,0,6480,2,0,-0.968379446640313,-177.245059288538,1.59223985890652,1992
"5024",17.4,1,8347,2,0,-1.96837944664031,-55.2450592885376,2.59223985890652,1993
"5683",16.2,0,11936,2,0,2.03162055335969,76.7549407114624,7.59223985890652,1996
"5902",15.4,0,9982,2,0,-2.96837944664031,43.7549407114624,9.59223985890652,1997
"6152",15.3,0,1781,2,0,-1.96837944664031,92.7549407114624,3.59223985890652,1998
"4175",10.3,0,13748,2,0,9.03162055335969,-41.2450592885376,2.59223985890652,1988
"5881",11.9,0,12011,2,0,-2.96837944664031,43.7549407114624,6.59223985890652,1997
"4162",18.8,0,1175,2,0,15.0316205533597,-41.2450592885376,-0.407760141093476,1988
"4641",16.8,1,5102,2,0,2.03162055335969,-84.2450592885376,3.59223985890652,1991
"5745",11.1,0,4005,2,0,-2.96837944664031,43.7549407114624,-15.4077601410935,1997
"5610",17.1,0,6567,2,0,4.03162055335969,76.7549407114624,2.59223985890652,1996
"5180",14.9,0,8272,2,0,4.03162055335969,-63.2450592885376,-2.40776014109348,1994
"5563",15.8,0,6745,2,0,1.03162055335969,76.7549407114624,1.59223985890652,1996
"6110",9.2,0,4461,2,0,-2.96837944664031,92.7549407114624,3.59223985890652,1998
"5878",15.6,0,4820,2,0,1.03162055335969,43.7549407114624,1.59223985890652,1997
"4925",17,1,1037,2,0,3.03162055335969,-55.2450592885376,-6.40776014109348,1993
"4546",14.9,0,6169,2,0,1.03162055335969,-84.2450592885376,-11.4077601410935,1991
"4936",18,0,9817,2,0,-1.96837944664031,-55.2450592885376,-5.40776014109348,1993
"6004",13.9,0,6029,2,0,-2.96837944664031,92.7549407114624,-5.40776014109348,1998
"5135",13,0,1684,2,0,6.03162055335969,-63.2450592885376,-7.40776014109348,1994
"6088",14.1,0,9719,2,0,0.0316205533596872,92.7549407114624,1.59223985890652,1998
"4784",14.3,1,7169,2,0,2.03162055335969,-177.245059288538,0.592239858906524,1992
"5143",14,0,3525,2,0,8.03162055335969,-63.2450592885376,-5.40776014109348,1994
"5820",9.4,0,7668,2,0,0.0316205533596872,43.7549407114624,-0.407760141093476,1997
"5507",15.3,0,11508,2,0,1.03162055335969,76.7549407114624,-14.4077601410935,1996
"4932",21,0,5206,2,0,-1.96837944664031,-55.2450592885376,-5.40776014109348,1993
"5139",16.2,0,9965,2,0,4.03162055335969,-63.2450592885376,-6.40776014109348,1994
"5334",15.4,1,3507,2,0,4.03162055335969,-141.245059288538,-0.407760141093476,1995
"5595",14.9,0,7225,2,0,2.03162055335969,76.7549407114624,2.59223985890652,1996
"4645",14.3,0,7503,2,0,1.03162055335969,-84.2450592885376,1.59223985890652,1991
